enzymes	short_names	genes	MWs	subSystems
P16862	PFK2	YMR205C	104.61673	Gluconeogenesis // sce00010  Glycolysis // sce00030  Pentose phosphate pathway // sce00051  Fructose and mannose metabolism // sce00052  Galactose metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids // sce03018  RNA degradation // Gluconeogenesis // sce00010  Glycolysis // sce00030  Pentose phosphate pathway // sce00051  Fructose and mannose metabolism // sce00052  Galactose metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids // sce03018  RNA degradation // Gluconeogenesis // sce00010  Glycolysis // sce00030  Pentose phosphate pathway // sce00051  Fructose and mannose metabolism // sce00052  Galactose metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids // sce03018  RNA degradation // Gluconeogenesis // sce00010  Glycolysis // sce00030  Pentose phosphate pathway // sce00051  Fructose and mannose metabolism // sce00052  Galactose metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids // sce03018  RNA degradation
P17255	VMA1	YDL185W	118.6354	sce00190  Oxidative phosphorylation // sce04145  Phagosome // sce00190  Oxidative phosphorylation // sce04145  Phagosome
P17423	THR1	YHR025W	38.71215	sce00260  Glycine, serine and threonine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01230  Biosynthesis of amino acids
P17505	MDH1	YKL085W	35.64959	sce00020  Citrate cycle (TCA cycle) // sce00270  Cysteine and methionine metabolism // sce00620  Pyruvate metabolism // sce00630  Glyoxylate and dicarboxylate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce00020  Citrate cycle (TCA cycle) // sce00270  Cysteine and methionine metabolism // sce00620  Pyruvate metabolism // sce00630  Glyoxylate and dicarboxylate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism
P17649	UGA1	YGR019W	52.94565	sce00250  Alanine, aspartate and glutamate metabolism // sce00280  Valine, leucine and isoleucine degradation // sce00410  beta-Alanine metabolism // sce00640  Propanoate metabolism // sce00650  Butanoate metabolism
P17695	GRX2	YDR513W	15.86124	sce00480  Glutathione metabolism // sce00480  Glutathione metabolism // sce00480  Glutathione metabolism
P17709	GLK1	YCL040W	55.37689	Gluconeogenesis // sce00010  Glycolysis // sce00051  Fructose and mannose metabolism // sce00052  Galactose metabolism // sce00500  Starch and sucrose metabolism // sce00520  Amino sugar and nucleotide sugar metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism
P17898	CPT1	YNL130C	44.82898	sce00440  Phosphonate and phosphinate metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00440  Phosphonate and phosphinate metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00440  Phosphonate and phosphinate metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00440  Phosphonate and phosphinate metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00440  Phosphonate and phosphinate metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00440  Phosphonate and phosphinate metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00440  Phosphonate and phosphinate metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00440  Phosphonate and phosphinate metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites
P18408	MET16	YPR167C	30.3799	sce00920  Sulfur metabolism // sce00920  Sulfur metabolism
P18544	ARG8	YOL140W	46.68082	sce00220  Arginine biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids
P18562	FUR1	YHR128W	24.59419	sce00240  Pyrimidine metabolism
P18900	COQ1	YBR003W	52.55916	sce00900  Terpenoid backbone biosynthesis // sce01110  Biosynthesis of secondary metabolites
P19097	FAS2	YPL231W	206.94462	sce00061  Fatty acid biosynthesis // sce01212  Fatty acid metabolism // sce00061  Fatty acid biosynthesis // sce01212  Fatty acid metabolism
P19262	KGD2	YDR148C	50.43011	Gluconeogenesis // sce00010  Glycolysis // sce00020  Citrate cycle (TCA cycle) // sce00260  Glycine, serine and threonine metabolism // sce00280  Valine, leucine and isoleucine degradation // sce00310  Lysine degradation // sce00380  Tryptophan metabolism // sce00620  Pyruvate metabolism // sce00630  Glyoxylate and dicarboxylate metabolism // sce00640  Propanoate metabolism // sce00670  One carbon pool by folate // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // Gluconeogenesis // sce00010  Glycolysis // sce00020  Citrate cycle (TCA cycle) // sce00260  Glycine, serine and threonine metabolism // sce00280  Valine, leucine and isoleucine degradation // sce00310  Lysine degradation // sce00380  Tryptophan metabolism // sce00620  Pyruvate metabolism // sce00630  Glyoxylate and dicarboxylate metabolism // sce00640  Propanoate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // Gluconeogenesis // sce00010  Glycolysis // sce00020  Citrate cycle (TCA cycle) // sce00260  Glycine, serine and threonine metabolism // sce00280  Valine, leucine and isoleucine degradation // sce00310  Lysine degradation // sce00380  Tryptophan metabolism // sce00620  Pyruvate metabolism // sce00630  Glyoxylate and dicarboxylate metabolism // sce00640  Propanoate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism
P19358	SAM2	YDR502C	42.2555	sce00270  Cysteine and methionine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01230  Biosynthesis of amino acids
P19414	ACO1	YLR304C	85.36736	sce00020  Citrate cycle (TCA cycle) // sce00630  Glyoxylate and dicarboxylate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids // sce00020  Citrate cycle (TCA cycle) // sce00630  Glyoxylate and dicarboxylate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids // sce00020  Citrate cycle (TCA cycle) // sce00630  Glyoxylate and dicarboxylate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids // sce00020  Citrate cycle (TCA cycle) // sce00630  Glyoxylate and dicarboxylate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids // sce00020  Citrate cycle (TCA cycle) // sce00630  Glyoxylate and dicarboxylate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids // sce00020  Citrate cycle (TCA cycle) // sce00630  Glyoxylate and dicarboxylate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids // sce00020  Citrate cycle (TCA cycle) // sce00630  Glyoxylate and dicarboxylate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids // sce00020  Citrate cycle (TCA cycle) // sce00630  Glyoxylate and dicarboxylate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids
P19516	COX11	YPL132W	34.04384	sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism
P19657	PMA2	YPL036W	102.17102	sce00190  Oxidative phosphorylation // sce00230  Purine metabolism // sce00240  Pyrimidine metabolism
P19881	PHO13	YDL236W	34.62415	 // 
P20048	SEC59	YMR013C	58.90564	sce00510  N-Glycan biosynthesis
P20049	TYR1	YBR166C	50.92272	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics
P20051	URA4	YLR420W	40.31285	sce00240  Pyrimidine metabolism // sce00240  Pyrimidine metabolism
P20485	CKI1	YLR133W	66.31602	sce00564  Glycerophospholipid metabolism // sce00564  Glycerophospholipid metabolism
P20967	KGD1	YIL125W	114.41496	Gluconeogenesis // sce00010  Glycolysis // sce00020  Citrate cycle (TCA cycle) // sce00260  Glycine, serine and threonine metabolism // sce00280  Valine, leucine and isoleucine degradation // sce00310  Lysine degradation // sce00380  Tryptophan metabolism // sce00620  Pyruvate metabolism // sce00630  Glyoxylate and dicarboxylate metabolism // sce00640  Propanoate metabolism // sce00670  One carbon pool by folate // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // Gluconeogenesis // sce00010  Glycolysis // sce00020  Citrate cycle (TCA cycle) // sce00260  Glycine, serine and threonine metabolism // sce00280  Valine, leucine and isoleucine degradation // sce00310  Lysine degradation // sce00380  Tryptophan metabolism // sce00620  Pyruvate metabolism // sce00630  Glyoxylate and dicarboxylate metabolism // sce00640  Propanoate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // Gluconeogenesis // sce00010  Glycolysis // sce00020  Citrate cycle (TCA cycle) // sce00260  Glycine, serine and threonine metabolism // sce00280  Valine, leucine and isoleucine degradation // sce00310  Lysine degradation // sce00380  Tryptophan metabolism // sce00620  Pyruvate metabolism // sce00630  Glyoxylate and dicarboxylate metabolism // sce00640  Propanoate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism
P21147	OLE1	YGL055W	58.40232	sce01040  Biosynthesis of unsaturated fatty acids // sce01212  Fatty acid metabolism // sce01040  Biosynthesis of unsaturated fatty acids // sce01212  Fatty acid metabolism
P21182	SPE2	YOL052C	46.23173	sce00270  Cysteine and methionine metabolism // sce00330  Arginine and proline metabolism
P21264	ADE2	YOR128C	62.33875	sce00230  Purine metabolism // sce01110  Biosynthesis of secondary metabolites
P21306	ATP15	YPL271W	6.7425	sce00190  Oxidative phosphorylation // sce00190  Oxidative phosphorylation
P21373	UTR1	YJR049C	59.4686	sce00760  Nicotinate and nicotinamide metabolism // sce00760  Nicotinate and nicotinamide metabolism // sce00760  Nicotinate and nicotinamide metabolism // sce00760  Nicotinate and nicotinamide metabolism
P21375	OSM1	YJR051W	55.06455	 // 
P21524	RNR1	YER070W	99.56021	sce00230  Purine metabolism // sce00240  Pyrimidine metabolism // sce00480  Glutathione metabolism // sce00230  Purine metabolism // sce00240  Pyrimidine metabolism // sce00480  Glutathione metabolism // sce00230  Purine metabolism // sce00240  Pyrimidine metabolism // sce00480  Glutathione metabolism // sce00230  Purine metabolism // sce00240  Pyrimidine metabolism // sce00480  Glutathione metabolism // sce00230  Purine metabolism // sce00240  Pyrimidine metabolism // sce00480  Glutathione metabolism // sce00230  Purine metabolism // sce00240  Pyrimidine metabolism // sce00480  Glutathione metabolism
P21592	COX10	YPL172C	52.14718	sce00190  Oxidative phosphorylation // sce00860  Porphyrin and chlorophyll metabolism // sce01110  Biosynthesis of secondary metabolites
P21595	DIT2	YDR402C	56.07056	sce00071  Fatty acid degradation // sce00380  Tryptophan metabolism // sce00071  Fatty acid degradation // sce00380  Tryptophan metabolism
P21623	DIT1	YDR403W	61.39	sce00071  Fatty acid degradation // sce00380  Tryptophan metabolism
P21672	RNR3	YIL066C	97.51369	sce00230  Purine metabolism // sce00240  Pyrimidine metabolism // sce00480  Glutathione metabolism // sce00230  Purine metabolism // sce00240  Pyrimidine metabolism // sce00480  Glutathione metabolism // sce00230  Purine metabolism // sce00240  Pyrimidine metabolism // sce00480  Glutathione metabolism // sce00230  Purine metabolism // sce00240  Pyrimidine metabolism // sce00480  Glutathione metabolism // sce00230  Purine metabolism // sce00240  Pyrimidine metabolism // sce00480  Glutathione metabolism // sce00230  Purine metabolism // sce00240  Pyrimidine metabolism // sce00480  Glutathione metabolism
P21801	SDH2	YLL041C	30.23101	sce00020  Citrate cycle (TCA cycle) // sce00190  Oxidative phosphorylation // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce00020  Citrate cycle (TCA cycle) // sce00190  Oxidative phosphorylation // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce00020  Citrate cycle (TCA cycle) // sce00190  Oxidative phosphorylation // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce00020  Citrate cycle (TCA cycle) // sce00190  Oxidative phosphorylation // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce00020  Citrate cycle (TCA cycle) // sce00190  Oxidative phosphorylation // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce00020  Citrate cycle (TCA cycle) // sce00190  Oxidative phosphorylation // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism
P21826	DAL7	YIR031C	62.79343	sce00620  Pyruvate metabolism // sce00630  Glyoxylate and dicarboxylate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01200  Carbon metabolism
P21954	IDP1	YDL066W	48.18986	sce00020  Citrate cycle (TCA cycle) // sce00480  Glutathione metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids // sce04146  Peroxisome
P22007	RAM1	YDL090C	48.18951	sce00900  Terpenoid backbone biosynthesis // sce01130  Biosynthesis of antibiotics // sce00900  Terpenoid backbone biosynthesis // sce01130  Biosynthesis of antibiotics
P22108	APA2	YDR530C	36.8404	sce00230  Purine metabolism
P22133	MDH2	YOL126C	40.7305	sce00020  Citrate cycle (TCA cycle) // sce00270  Cysteine and methionine metabolism // sce00620  Pyruvate metabolism // sce00630  Glyoxylate and dicarboxylate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce00020  Citrate cycle (TCA cycle) // sce00270  Cysteine and methionine metabolism // sce00620  Pyruvate metabolism // sce00630  Glyoxylate and dicarboxylate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism
P22140	EPT1	YHR123W	44.55926	sce00440  Phosphonate and phosphinate metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00440  Phosphonate and phosphinate metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00440  Phosphonate and phosphinate metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00440  Phosphonate and phosphinate metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00440  Phosphonate and phosphinate metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00440  Phosphonate and phosphinate metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00440  Phosphonate and phosphinate metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00440  Phosphonate and phosphinate metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00440  Phosphonate and phosphinate metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00440  Phosphonate and phosphinate metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00440  Phosphonate and phosphinate metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00440  Phosphonate and phosphinate metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00440  Phosphonate and phosphinate metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00440  Phosphonate and phosphinate metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00440  Phosphonate and phosphinate metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00440  Phosphonate and phosphinate metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites
P22203	VMA4	YOR332W	26.47107	sce00190  Oxidative phosphorylation // sce04145  Phagosome // sce00190  Oxidative phosphorylation // sce04145  Phagosome
P22217	TRX1	YLR043C	11.23485	 // sce04122  Sulfur relay system // sce00920  Sulfur metabolism //  // sce00450  Selenocompound metabolism
P22219	VPS15	YBR097W	166.37029	sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce04136  Autophagy - other // sce04138  Autophagy - yeast // sce04145  Phagosome // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce04136  Autophagy - other // sce04138  Autophagy - yeast // sce04145  Phagosome // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce04136  Autophagy - other // sce04138  Autophagy - yeast // sce04145  Phagosome // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce04136  Autophagy - other // sce04138  Autophagy - yeast // sce04145  Phagosome // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce04136  Autophagy - other // sce04138  Autophagy - yeast // sce04145  Phagosome // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce04136  Autophagy - other // sce04138  Autophagy - yeast // sce04145  Phagosome // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce04136  Autophagy - other // sce04138  Autophagy - yeast // sce04145  Phagosome // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce04136  Autophagy - other // sce04138  Autophagy - yeast // sce04145  Phagosome
P22289	QCR9	YGR183C	7.47622	sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism
P22434	PDE1	YGL248W	42.01559	sce00230  Purine metabolism
P22438	MSM1	YGR171C	66.73367	sce00450  Selenocompound metabolism // sce00970  Aminoacyl-tRNA biosynthesis
P22543	VPS34	YLR240W	100.9204	sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce04136  Autophagy - other // sce04138  Autophagy - yeast // sce04145  Phagosome // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce04136  Autophagy - other // sce04138  Autophagy - yeast // sce04145  Phagosome // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce04136  Autophagy - other // sce04138  Autophagy - yeast // sce04145  Phagosome // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce04136  Autophagy - other // sce04138  Autophagy - yeast // sce04145  Phagosome // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce04136  Autophagy - other // sce04138  Autophagy - yeast // sce04145  Phagosome // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce04136  Autophagy - other // sce04138  Autophagy - yeast // sce04145  Phagosome // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce04136  Autophagy - other // sce04138  Autophagy - yeast // sce04145  Phagosome // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce04136  Autophagy - other // sce04138  Autophagy - yeast // sce04145  Phagosome
P22580	AMD2	YDR242W	61.4096	sce00970  Aminoacyl-tRNA biosynthesis //  //  //  //  //  //  //  //  //  // 
P22768	ARG1	YOL058W	46.92715	sce00220  Arginine biosynthesis // sce00250  Alanine, aspartate and glutamate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01230  Biosynthesis of amino acids // sce00220  Arginine biosynthesis // sce00250  Alanine, aspartate and glutamate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01230  Biosynthesis of amino acids
P22803	TRX2	YGR209C	11.20376	 // sce04122  Sulfur relay system // sce00920  Sulfur metabolism //  // sce00450  Selenocompound metabolism
P22855	AMS1	YGL156W	124.49753	 // 
P23202	URE2	YNL229C	40.27029	sce00480  Glutathione metabolism // sce00480  Glutathione metabolism
P23254	TKL1	YPR074C	73.80488	sce00030  Pentose phosphate pathway // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids // sce00030  Pentose phosphate pathway // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids // sce00030  Pentose phosphate pathway // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids // sce00030  Pentose phosphate pathway // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids
P23337	GSY1	YFR015C	80.50931	sce00500  Starch and sucrose metabolism // sce00500  Starch and sucrose metabolism
P23501	YSR3	YKR053C	46.48765	sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism
P23542	AAT2	YLR027C	46.05711	sce00220  Arginine biosynthesis // sce00250  Alanine, aspartate and glutamate metabolism // sce00270  Cysteine and methionine metabolism // sce00330  Arginine and proline metabolism // sce00350  Tyrosine metabolism // sce00360  Phenylalanine metabolism // sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids // sce00220  Arginine biosynthesis // sce00250  Alanine, aspartate and glutamate metabolism // sce00270  Cysteine and methionine metabolism // sce00330  Arginine and proline metabolism // sce00350  Tyrosine metabolism // sce00360  Phenylalanine metabolism // sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids // sce00220  Arginine biosynthesis // sce00250  Alanine, aspartate and glutamate metabolism // sce00270  Cysteine and methionine metabolism // sce00330  Arginine and proline metabolism // sce00350  Tyrosine metabolism // sce00360  Phenylalanine metabolism // sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids // sce00220  Arginine biosynthesis // sce00250  Alanine, aspartate and glutamate metabolism // sce00270  Cysteine and methionine metabolism // sce00330  Arginine and proline metabolism // sce00350  Tyrosine metabolism // sce00360  Phenylalanine metabolism // sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids // sce00220  Arginine biosynthesis // sce00250  Alanine, aspartate and glutamate metabolism // sce00270  Cysteine and methionine metabolism // sce00330  Arginine and proline metabolism // sce00350  Tyrosine metabolism // sce00360  Phenylalanine metabolism // sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids // sce00220  Arginine biosynthesis // sce00250  Alanine, aspartate and glutamate metabolism // sce00270  Cysteine and methionine metabolism // sce00330  Arginine and proline metabolism // sce00350  Tyrosine metabolism // sce00360  Phenylalanine metabolism // sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids // sce00220  Arginine biosynthesis // sce00250  Alanine, aspartate and glutamate metabolism // sce00270  Cysteine and methionine metabolism // sce00330  Arginine and proline metabolism // sce00350  Tyrosine metabolism // sce00360  Phenylalanine metabolism // sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids
P23776	EXG1	YLR300W	51.31038	sce00500  Starch and sucrose metabolism
P23797	GPI12	YMR281W	35.44556	sce00563  Glycosylphosphatidylinositol (GPI)-anchor biosynthesis // sce00563  Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
P23968	VMA16	YHR026W	22.59549	sce00190  Oxidative phosphorylation // sce04145  Phagosome // sce00190  Oxidative phosphorylation // sce04145  Phagosome
P24031	PHO3	YBR092C	52.77588	sce00730  Thiamine metabolism // sce00740  Riboflavin metabolism // sce04111  Cell cycle - yeast // sce00730  Thiamine metabolism // sce00740  Riboflavin metabolism // sce00730  Thiamine metabolism // sce00740  Riboflavin metabolism
P24521	ERG8	YMR220W	50.45437	sce00900  Terpenoid backbone biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics
P25045	LCB1	YMR296C	62.20644	sce00600  Sphingolipid metabolism // sce04138  Autophagy - yeast // sce00600  Sphingolipid metabolism // sce04138  Autophagy - yeast
P25087	ERG6	YML008C	43.43021	sce00100  Steroid biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics
P25332	RBK1	YCR036W	36.92355	sce00030  Pentose phosphate pathway // sce00030  Pentose phosphate pathway
P25335	DAL2	YIR029W	38.71329	sce00230  Purine metabolism // sce00230  Purine metabolism
P25340	ERG4	YGL012W	56.03889	sce00100  Steroid biosynthesis // sce01130  Biosynthesis of antibiotics
P25345	SLM5	YCR024C	56.78421	sce00970  Aminoacyl-tRNA biosynthesis
