Chemicals	rxns	rxnNames	formulas	grRules	c	lb	ub	proteins	kcats	MWs	EC_number	¦Ì	qO2	ATP	Medium	Carbon source	deletion	
Adipic acid	Adipic acid_9	adipic acid exchange	Adipic acid[e] =>		1	0	1000											
Adipic acid	r_2189_REV				0	0	1											
Adipic acid	r_1757_REV				0	0	1											
Adipic acid	r_2038_REV				0	0	1											
Adipic acid	r_1807_REV				0	0	1											
																		
Isobutanol	r_0016No1	2-aceto-2-hydroxybutanoate synthase (No1)	pmet_r_0016[m] + 1.72533e-05 prot_P25605 => (S)-2-acetyl-2-hydroxybutanoate[m] + carbon dioxide[m]	YMR108W	0	0	1000	P07342	32.2			0.1			YEP	glucose	YPL061W,YHR208W	
Isobutanol	r_0016No2	2-aceto-2-hydroxybutanoate synthase (No2)	pmet_r_0016[m] => (S)-2-acetyl-2-hydroxybutanoate[m] + carbon dioxide[m]	YMR108W	0	0	1000	P07342	32.2									
Isobutanol	r_0097No1	acetolactate synthase (No1)	3.45066e-05 prot_P25605 + pmet_r_0097[m] => 2-acetyllactic acid[m] + carbon dioxide[m]	YMR108W	0	0	1000	P07342	16.1									
Isobutanol	r_0097No2	acetolactate synthase (No2)	pmet_r_0097[m] => 2-acetyllactic acid[m] + carbon dioxide[m]	YMR108W	0	0	1000	P07342	16.1									
Isobutanol	r_0352No1	dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate) (No1)	(R)-2,3-dihydroxy-3-methylbutanoate[m] => 3-methyl-2-oxobutanoate[m] + H2O[m]	YJR016C	0	0	1000	P39522	50									
Isobutanol	r_0353No1	dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate) (No1)	(2R,3R)-2,3-dihydroxy-3-methylpentanoate[m] => (S)-3-methyl-2-oxopentanoate[m] + H2O[m]	YJR016C	0	0	1000	P39522	50									
Isobutanol	r_0096No1	acetohydroxy acid isomeroreductase (No1)	2-acetyllactic acid[m] + H+[m] + NADPH[m] => (R)-2,3-dihydroxy-3-methylbutanoate[m] + NADP(+)[m]	YLR355C	0	0	1000	P06168	36.6									
Isobutanol	r_0669No1	ketol-acid reductoisomerase (2-aceto-2-hydroxybutanoate) (No1)	(S)-2-acetyl-2-hydroxybutanoate[m] + H+[m] + NADPH[m] => (2R,3R)-2,3-dihydroxy-3-methylpentanoate[m] + NADP(+)[m]	YLR355C	0	0	1000	P06168	1.96									
Isobutanol	r_0854No1	phenylpyruvate decarboxylase (No1)	H+[c] + keto-phenylpyruvate[c] => carbon dioxide[c] + phenylacetaldehyde[c]	YDR380W	0	0	1000	Q06408	1140									
Isobutanol	r_0163No1	alcohol dehydrogenase (ethanol to acetaldehyde) (No1)	ethanol[c] + NAD[c] => acetaldehyde[c] + H+[c] + NADH[c]	YMR303C	0	0	1000	P00331	286									
Isobutanol	r_1866				1	0	Inf											
																		
3-Methyl-1-Butanol	r_0016No1	2-aceto-2-hydroxybutanoate synthase (No1)	pmet_r_0016[m] + 1.72533e-05 prot_P25605 => (S)-2-acetyl-2-hydroxybutanoate[m] + carbon dioxide[m]	YMR108W	0	0	1000	P07342	32.2			0.1			YEP	glucose	YPL061W,YHR208W	
3-Methyl-1-Butanol	r_0016No2	2-aceto-2-hydroxybutanoate synthase (No2)	pmet_r_0016[m] => (S)-2-acetyl-2-hydroxybutanoate[m] + carbon dioxide[m]	YMR108W	0	0	1000	P07342	32.2									
3-Methyl-1-Butanol	r_0097No1	acetolactate synthase (No1)	3.45066e-05 prot_P25605 + pmet_r_0097[m] => 2-acetyllactic acid[m] + carbon dioxide[m]	YMR108W	0	0	1000	P07342	16.1									
3-Methyl-1-Butanol	r_0097No2	acetolactate synthase (No2)	pmet_r_0097[m] => 2-acetyllactic acid[m] + carbon dioxide[m]	YMR108W	0	0	1000	P07342	16.1									
3-Methyl-1-Butanol	r_0352No1	dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate) (No1)	(R)-2,3-dihydroxy-3-methylbutanoate[m] => 3-methyl-2-oxobutanoate[m] + H2O[m]	YJR016C	0	0	1000	P39522	50									
3-Methyl-1-Butanol	r_0353No1	dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate) (No1)	(2R,3R)-2,3-dihydroxy-3-methylpentanoate[m] => (S)-3-methyl-2-oxopentanoate[m] + H2O[m]	YJR016C	0	0	1000	P39522	50									
3-Methyl-1-Butanol	r_0096No1	acetohydroxy acid isomeroreductase (No1)	2-acetyllactic acid[m] + H+[m] + NADPH[m] => (R)-2,3-dihydroxy-3-methylbutanoate[m] + NADP(+)[m]	YLR355C	0	0	1000	P06168	36.6									
3-Methyl-1-Butanol	r_0669No1	ketol-acid reductoisomerase (2-aceto-2-hydroxybutanoate) (No1)	(S)-2-acetyl-2-hydroxybutanoate[m] + H+[m] + NADPH[m] => (2R,3R)-2,3-dihydroxy-3-methylpentanoate[m] + NADP(+)[m]	YLR355C	0	0	1000	P06168	1.96									
3-Methyl-1-Butanol	r_0854No1	phenylpyruvate decarboxylase (No1)	H+[c] + keto-phenylpyruvate[c] => carbon dioxide[c] + phenylacetaldehyde[c]	YDR380W	0	0	1000	Q06408	1140									
3-Methyl-1-Butanol	r_0163No1	alcohol dehydrogenase (ethanol to acetaldehyde) (No1)	ethanol[c] + NAD[c] => acetaldehyde[c] + H+[c] + NADH[c]	YMR303C	0	0	1000	P00331	286									
3-Methyl-1-Butanol	r_0024No1	2-isopropylmalate synthase (No1)	pmet_r_0024[c] => 2-isopropylmalate[c] + coenzyme A[c] + H+[c]	YNL104C	0	0	1000	P06208	27.58									
3-Methyl-1-Butanol	r_0025No1	2-isopropylmalate synthase (No1)	3-methyl-2-oxobutanoate[m] + acetyl-CoA[m] + H2O[m] => 2-isopropylmalate[m] + coenzyme A[m] + H+[m]	YNL104C	0	0	1000	P06208	27.58									
3-Methyl-1-Butanol	r_1598				1	0	Inf											
																		
Naringenin	Naringenin_1	Phenylalanine ammonia-lyase	L-phenylalanine[c] => ammonium[c] + cinnamate[c]	PAL1 	0	0	1000	P35510	1.8	78.726	4.3.1.24	0.2			Min	glucose	YDR035W,YBR249C,YDR380W,YLR134W,YGR087C	
Naringenin	Naringenin_2	Cinnamate-4-hydroxylase	H+[c] + oxygen[c] + cinnamate[c] + NADPH[c] => H2O[c] + NADP(+)[c] + trans-4-coumarate[c]	C4H 	0	0	1000	P92994	1.72	57.792	1.14.13.11							
Naringenin	Naringenin_3	Chalcone isomerase	H+[c] + naringenin chalcone[c] => naringenin[c]	CHI1 	0	0	1000	Q8VZW3		23.332	5.5.1.6							
Naringenin	Naringenin_4	Chalcone synthase	2 H+[c] + 4-coumaroyl-CoA[c] + 3 malonyl-CoA[c] => 4 coenzyme A[c] + 3 carbon dioxide[c] + naringenin chalcone[c]	CHS3 	0	0	1000	P13114	0.001	43.116	2.3.1.74							
Naringenin	Naringenin_5	4-coumarate:CoA ligase	trans-4-coumarate[c] + ATP[c] + coenzyme A[c] => diphosphate[c] + AMP[c] + 4-coumaroyl-CoA[c]	4CL3 	0	0	1000	Q9S777	0.84	61.311	6.2.1.12							
Naringenin	Naringenin_6	tyrosine ammonia-lyase	L-tyrosine[c] => ammonium[c] + trans-4-coumarate[c]	TAL 	0	0	1000	A0A1M4NET9	27.7	55.539	4.3.1.23							
Naringenin	Naringenin_7	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	D-erythrose 4-phosphate[c] + H2O[c] + phosphoenolpyruvate[c] => 7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid[c] + phosphate[c]	ARO4G226S 	0	0	1000	P32449ly	7.9	39.7487	2.5.1.54							
Naringenin	Naringenin_8	naringenin transport	naringenin[c] => naringenin[e]		0	0	1000											
Naringenin	Naringenin_9	naringenin exchange	naringenin[e] =>		1	0	1000											
																		
Catechin	Catechin_1	Phenylalanine ammonia-lyase	L-phenylalanine[c] => ammonium[c] + cinnamate[c]	PAL2 	0	0	1000	P45724	3.2	77.86	4.3.1.24	0.1			Min	glucose		
Catechin	Catechin_2	Cinnamate-4-hydroxylase	H+[c] + oxygen[c] + cinnamate[c] + NADPH[c] => H2O[c] + NADP(+)[c] + trans-4-coumarate[c]	C4H 	0	0	1000	Q84TQ4	1.72	57.937	1.14.13.11							
Catechin	Catechin_3	Chalcone isomerase	H+[c] + naringenin chalcone[c] => naringenin[c]	CHI 	0	0	1000	P28012	671000	23.826	5.5.1.6							
Catechin	Catechin_4	Chalcone synthase	2 H+[c] + 4-coumaroyl-CoA[c] + 3 malonyl-CoA[c] => 4 coenzyme A[c] + 3 carbon dioxide[c] + naringenin chalcone[c]	CHS 	0	0	1000	Q9FUB7	0.042	42.713	2.3.1.74							
Catechin	Catechin_5	4-coumarate:CoA ligase	trans-4-coumarate[c] + ATP[c] + coenzyme A[c] => diphosphate[c] + AMP[c] + 4-coumaroyl-CoA[c]	4CL2 	0	0	1000	Q9S725	3	60.842	6.2.1.12							
Catechin	Catechin_6	flavonoid-3'-hydroxylase	H+[c] + oxygen[c] + naringenin[c] + NADPH[c] => eriodictyol[c] + H2O[c] + NADP(+)[c]	F3'H 	0	0	1000	Q9SBQ9	17	56.936	1.14.14.82							
Catechin	Catechin_7	flavanone-3-hydroxylase	eriodictyol[c] + 2-oxoglutarate[c] + oxygen[c] => taxifolin[c] + succinate[c] + carbon dioxide[c]	F3H 	0	0	1000	Q06942		40.771	1.14.11.9							
Catechin	Catechin_8	dihydroflavonol-4-reductase	taxifolin[c] + NADPH[c] + H+[c] => leucocyanidin[c] + NADP(+)[c]	DFR 	0	0	1000	B9GRL5	27.60528667	38.699	1.1.1.219							
Catechin	Catechin_9	leucoanthocyanidin reductase	leucocyanidin[c] + NADPH[c] + H+[c] => catechin[c] + NADP(+)[c] + H2O[c]	LAR 	0	0	1000	Q4W2K4	0.065	38.019	1.17.1.3							
Catechin	Catechin_10	catechin transport	catechin[c] => catechin[e]		0	0	1000											
Catechin	Catechin_11	catechin exchange	catechin[e] =>		1	0	1000											
																		
Amorphadiene	Amorphadiene_1	amorphadiene synthase	farnesyl diphosphate[c] => amorphadiene[c] + diphosphate[c]	ADS 	0	0	1000	Q9AR04	0.518	63.933	4.2.3.24	0.1			Min	glucose	YBR020W,YBR018C,YBR019C	
Amorphadiene	Amorphadiene_2	amorphadiene transport	amorphadiene[c] => amorphadiene[e]		0	0	1000											
Amorphadiene	Amorphadiene_3	amorphadiene exchange	amorphadiene[e] =>		1	0	1000											
Amorphadiene	r_0558No1	hydroxymethylglutaryl CoA reductase (No1)	pmet_r_0558[c] => (R)-mevalonate[c] + coenzyme A[c] + 2 NADP(+)[c]	YLR450W	0	0	1000	P12684	92.5526	115.691	1.1.1.34							
Amorphadiene	r_0904No1	phosphomevalonate kinase (No1)	(R)-5-phosphomevalonic acid[c] + ATP[c] => (R)-5-diphosphomevalonic acid[c] + ADP[c]	YMR220W	0	0	1000	P24521	6.8	50.4544	2.7.4.2							
Amorphadiene	r_0103No1	acetyl-CoA C-acetyltransferase (No1)	2 acetyl-CoA[c] => acetoacetyl-CoA[c] + coenzyme A[c]	YPL028W	0	0	1000	P41338	1800	41.7282	2.3.1.9							
Amorphadiene	r_0104No1	acetyl-CoA C-acetyltransferase (No1)	2 acetyl-CoA[m] => acetoacetyl-CoA[m] + coenzyme A[m]	YPL028W	0	0	1000	P41338	1800	41.7282	2.3.1.9							
Amorphadiene	r_0103_REVNo1	acetyl-CoA C-acetyltransferase (reversible) (No1)	acetoacetyl-CoA[c] + coenzyme A[c] => 2 acetyl-CoA[c]	YPL028W	0	0	1000	P41338	10000000	41.7282	2.3.1.9							
Amorphadiene	r_0104_REVNo1	acetyl-CoA C-acetyltransferase (reversible) (No1)	acetoacetyl-CoA[m] + coenzyme A[m] => 2 acetyl-CoA[m]	YPL028W	0	0	1000	P41338	10000000	41.7282	2.3.1.9							
Amorphadiene	r_0735No1	mevalonate kinase (atp) (No1)	(R)-mevalonate[c] + ATP[c] => (R)-5-phosphomevalonic acid[c] + ADP[c] + H+[c]	YMR208W	0	0	1000	P07277	43.8001	48.459	2.7.1.36							
Amorphadiene	r_0736No1	mevalonate kinase (ctp) (No1)	(R)-mevalonate[c] + CTP[c] => (R)-5-phosphomevalonic acid[c] + CDP[c] + H+[c]	YMR208W	0	0	1000	P07277	43.8001	48.459	2.7.1.36							
Amorphadiene	r_0737No1	mevalonate kinase (gtp) (No1)	(R)-mevalonate[c] + GTP[c] => (R)-5-phosphomevalonic acid[c] + GDP[c] + H+[c]	YMR208W	0	0	1000	P07277	43.8001	48.459	2.7.1.36							
Amorphadiene	r_0738No1	mevalonate kinase (UTP) (No1)	(R)-mevalonate[c] + UTP[c] => (R)-5-phosphomevalonic acid[c] + H+[c] + UDP[c]	YMR208W	0	0	1000	P07277	43.8001	48.459	2.7.1.36							
Amorphadiene	r_0559No1	hydroxymethylglutaryl CoA synthase (No1)	acetoacetyl-CoA[c] + acetyl-CoA[c] + H2O[c] => 3-hydroxy-3-methylglutaryl-CoA[c] + coenzyme A[c] + H+[c]	YML126C	0	0	1000	P54839	0.83	55.0128	2.3.3.10							
Amorphadiene	r_0560No1	hydroxymethylglutaryl CoA synthase (No1)	acetoacetyl-CoA[m] + acetyl-CoA[m] + H2O[m] => 3-hydroxy-3-methylglutaryl-CoA[m] + coenzyme A[m] + H+[m]	YML126C	0	0	1000	P54839	0.83	55.0128	2.3.3.10							
Amorphadiene	r_0739No1	mevalonate pyrophoshate decarboxylase (No1)	(R)-5-diphosphomevalonic acid[c] + ATP[c] => ADP[c] + carbon dioxide[c] + isopentenyl diphosphate[c] + phosphate[c]	YNR043W	0	0	1000	P32377	9.8	44.1154	4.1.1.33							
Amorphadiene	r_0355No1	dimethylallyltranstransferase (No1)	isopentenyl diphosphate[c] + prenyl diphosphate(3-)[c] => diphosphate[c] + geranyl diphosphate[c]	YJL167W	0	0	1000	P08524	2.2	40.4829	2.5.1.1							
Amorphadiene	r_0462No1	geranyltranstransferase (No1)	geranyl diphosphate[c] + isopentenyl diphosphate[c] => farnesyl diphosphate[c] + diphosphate[c]	YJL167W	0	0	1000	P08524	2.2	40.4829	2.5.1.1							
Amorphadiene	r_0667No1	isopentenyl-diphosphate D-isomerase (No1)	isopentenyl diphosphate[c] => prenyl diphosphate(3-)[c]	YPL117C	0	0	1000	P15496	59800	33.3511	5.3.3.2							
Amorphadiene	r_0667_REVNo1	isopentenyl-diphosphate D-isomerase (reversible) (No1)	prenyl diphosphate(3-)[c] => isopentenyl diphosphate[c]	YPL117C	0	0	1000	P15496	0.1212	33.3511	5.3.3.2							
Amorphadiene	r_1012No1	squalene synthase (No1)	2 farnesyl diphosphate[c] + H+[c] + NADPH[c] => 2 diphosphate[c] + NADP(+)[c] + squalene[c]	YHR190W	0	0	1000	P29704	0.825	51.7193	2.5.1.21							
Amorphadiene	r_1710_REV				0	0	1											
																		
Protopanaxadiol	Protopanaxadiol_1	dammarenediol-II synthase	(S)-2,3-epoxysqualene[c] + H2O[c] => Dammarenediol II[c]	DDS 	0	0	1000	Q08IT1		88.343	4.2.1.125	0.1			Min	glucose		
Protopanaxadiol	Protopanaxadiol_2	protopanaxadiol synthase	H+[c] + oxygen[c] + Dammarenediol II[c] + NADPH[c] => protopanaxadiol[c] + H2O[c] + NADP(+)[c]	PPDS 	0	0	1000	H2DH16		55.356	1.14.14.120							
Protopanaxadiol	Protopanaxadiol_3	protopanaxadiol transport	protopanaxadiol[c] => protopanaxadiol[e]		0	0	1000											
Protopanaxadiol	Protopanaxadiol_4	protopanaxadiol exchange	protopanaxadiol[e] =>		1	0	1000											
Protopanaxadiol	r_0558No1	hydroxymethylglutaryl CoA reductase (No1)	pmet_r_0558[c] => (R)-mevalonate[c] + coenzyme A[c] + 2 NADP(+)[c]	YLR450W	0	0	1000	P12684	92.5526	115.691	1.1.1.34							
Protopanaxadiol	r_1010No1	squalene epoxidase (NAD) (No1)	H+[er] + NADH[er] + oxygen[er] + squalene[er] => (S)-2,3-epoxysqualene[er] + H2O[er] + NAD[er]	YGR175C	0	0	1000	P32476	0.152	55.1254	1.14.14.17							
Protopanaxadiol	r_1011No1	squalene epoxidase (NADP) (No1)	H+[er] + NADPH[er] + oxygen[er] + squalene[er] => (S)-2,3-epoxysqualene[er] + H2O[er] + NADP(+)[er]	YGR175C	0	0	1000	P32476	0.152	55.1254	1.14.14.17							
Protopanaxadiol	r_1012No1	squalene synthase (No1)	2 farnesyl diphosphate[c] + H+[c] + NADPH[c] => 2 diphosphate[c] + NADP(+)[c] + squalene[c]	YHR190W	0	0	1000	P29704	3.3	51.7193	2.5.1.21							
Protopanaxadiol	r_0355No1	dimethylallyltranstransferase (No1)	isopentenyl diphosphate[c] + prenyl diphosphate(3-)[c] => diphosphate[c] + geranyl diphosphate[c]	YJL167W	0	0	1000	P08524	2.2	40.4829	2.5.1.1							
Protopanaxadiol	r_0462No1	geranyltranstransferase (No1)	geranyl diphosphate[c] + isopentenyl diphosphate[c] => farnesyl diphosphate[c] + diphosphate[c]	YJL167W	0	0	1000	P08524	2.2	40.4829	2.5.1.1							
Protopanaxadiol	r_1900_REV				0	0	1											
																		
Geraniol	Geraniol_1	geraniol synthase	geranyl diphosphate[c] + H2O[c] => Geraniol[c] + diphosphate[c]	GES 	0	0	1000	J9PZR5	1	67.728	3.1.7.11	0.31			YEP	glucose		
Geraniol	Geraniol_2	protopanaxadiol transport	Geraniol[c] => Geraniol[e]		0	0	1000											
Geraniol	Geraniol_3	protopanaxadiol exchange	Geraniol[e] =>		1	0	1000											
Geraniol	r_0558No1	hydroxymethylglutaryl CoA reductase (No1)	pmet_r_0558[c] => (R)-mevalonate[c] + coenzyme A[c] + 2 NADP(+)[c]	YLR450W	0	0	1000	P12684	92.5526	115.691	1.1.1.34							
Geraniol	r_0667No1	isopentenyl-diphosphate D-isomerase (No1)	isopentenyl diphosphate[c] => prenyl diphosphate(3-)[c]	YPL117C	0	0	1000	P15496	59800	33.3511	5.3.3.2							
Geraniol	r_0667_REVNo1	isopentenyl-diphosphate D-isomerase (reversible) (No1)	prenyl diphosphate(3-)[c] => isopentenyl diphosphate[c]	YPL117C	0	0	1000	P15496	0.1212	33.3511	5.3.3.2							
Geraniol	r_0355No1	dimethylallyltranstransferase (No1)	isopentenyl diphosphate[c] + prenyl diphosphate(3-)[c] => diphosphate[c] + geranyl diphosphate[c]	YJL167W	0	0	1000	P08524	2.2	40.4829	2.5.1.1							
Geraniol	r_0462No1	geranyltranstransferase (No1)	geranyl diphosphate[c] + isopentenyl diphosphate[c] => farnesyl diphosphate[c] + diphosphate[c]	YJL167W	0	0	1000	P08524	2.2	40.4829	2.5.1.1							
																		
Patchoulol	Patchoulol_1	patchoulol synthase	farnesyl diphosphate[c] + H2O[c] => patchoulol[c] + diphosphate[c]	PTS 	0	0	1000	Q49SP3	0.00043	64.199	4.2.3.70	0.1			YEP	glucose		
Patchoulol	Patchoulol_2	patchoulol transport	patchoulol[c] => patchoulol[e]		0	0	1000											
Patchoulol	Patchoulol_3	patchoulol exchange	patchoulol[e] =>		1	0	1000											
Patchoulol	r_0558No1	hydroxymethylglutaryl CoA reductase (No1)	pmet_r_0558[c] => (R)-mevalonate[c] + coenzyme A[c] + 2 NADP(+)[c]	YLR450W	0	0	1000	P12684	92.5526	115.691	1.1.1.34							
Patchoulol	r_0667No1	isopentenyl-diphosphate D-isomerase (No1)	isopentenyl diphosphate[c] => prenyl diphosphate(3-)[c]	YPL117C	0	0	1000	P15496	59800	33.3511	5.3.3.2							
Patchoulol	r_0667_REVNo1	isopentenyl-diphosphate D-isomerase (reversible) (No1)	prenyl diphosphate(3-)[c] => isopentenyl diphosphate[c]	YPL117C	0	0	1000	P15496	0.1212	33.3511	5.3.3.2							
Patchoulol	r_0355No1	dimethylallyltranstransferase (No1)	isopentenyl diphosphate[c] + prenyl diphosphate(3-)[c] => diphosphate[c] + geranyl diphosphate[c]	YJL167W	0	0	1000	P08524	2.2	40.4829	2.5.1.1							
Patchoulol	r_0462No1	geranyltranstransferase (No1)	geranyl diphosphate[c] + isopentenyl diphosphate[c] => farnesyl diphosphate[c] + diphosphate[c]	YJL167W	0	0	1000	P08524	2.2	40.4829	2.5.1.1							
Patchoulol	r_1012No1	squalene synthase (No1)	2 farnesyl diphosphate[c] + H+[c] + NADPH[c] => 2 diphosphate[c] + NADP(+)[c] + squalene[c]	YHR190W	0	0	1000	P29704	0.825	51.7193	2.5.1.21							
																		
Lupeol	Lupeol_1	lupeol synthase	(S)-2,3-epoxysqualene[c] => lupeol[c]	LUP 	0	0	1000	A0A3B1EU92		86.705	5.4.99.41	0.1			Min	glucose		
Lupeol	Lupeol_2	lupeol transport	lupeol[c] => lupeol[e]		0	0	1000											
Lupeol	Lupeol_3	lupeol exchange	lupeol[e] =>		1	0	1000											
Lupeol	r_0558No1	hydroxymethylglutaryl CoA reductase (No1)	pmet_r_0558[c] => (R)-mevalonate[c] + coenzyme A[c] + 2 NADP(+)[c]	YLR450W	0	0	1000	P12684	92.5526	115.691	1.1.1.34							
Lupeol	r_0559No1	hydroxymethylglutaryl CoA synthase (No1)	acetoacetyl-CoA[c] + acetyl-CoA[c] + H2O[c] => 3-hydroxy-3-methylglutaryl-CoA[c] + coenzyme A[c] + H+[c]	YML126C	0	0	1000	P54839	0.83	55.0128	2.3.3.10							
Lupeol	r_0560No1	hydroxymethylglutaryl CoA synthase (No1)	acetoacetyl-CoA[m] + acetyl-CoA[m] + H2O[m] => 3-hydroxy-3-methylglutaryl-CoA[m] + coenzyme A[m] + H+[m]	YML126C	0	0	1000	P54839	0.83	55.0128	2.3.3.10							
Lupeol	r_0698No1	lanosterol synthase (No1)	(S)-2,3-epoxysqualene[c] => lanosterol[c]	YHR072W	0	0	1000	P38604	2.0382	83.4594	5.4.99.7							
Lupeol	r_1710_REV				0	0	1											
																		
¦Â-Amyrin	¦Â-Amyrin_1	¦Â-amyrin synthase	(S)-2,3-epoxysqualene[c] => ¦Â-Amyrin[c]	bAS 	0	0	1000	Q9MB42	0.77	87.516	5.4.99.39	0.1			YEP	glucose		
¦Â-Amyrin	¦Â-Amyrin_2	squalene epoxidase (NAD) (No1)	H+[er] + NADH[er] + oxygen[er] + squalene[er] => (S)-2,3-epoxysqualene[er] + H2O[er] + NAD[er]	CaERG1 	0	0	1000	Q92206		55.298	1.14.14.17							
¦Â-Amyrin	¦Â-Amyrin_3	squalene epoxidase (NADP) (No1)	H+[er] + NADPH[er] + oxygen[er] + squalene[er] => (S)-2,3-epoxysqualene[er] + H2O[er] + NADP(+)[er]	CaERG1 	0	0	1000	Q92206		55.298	1.14.14.17							
¦Â-Amyrin	¦Â-Amyrin_4	pyrophosphate isomerase	isopentenyl diphosphate[c] => prenyl diphosphate(3-)[c]	EcIDI 	0	0	1000	Q46822		20.508	5.3.3.2							
¦Â-Amyrin	¦Â-Amyrin_5	pyrophosphate isomerase	prenyl diphosphate(3-)[c] => isopentenyl diphosphate[c]	EcIDI 	0	0	1000	Q46822		20.508	5.3.3.2							
¦Â-Amyrin	¦Â-Amyrin_6	¦Â-Amyrin transport	¦Â-Amyrin[c] => ¦Â-Amyrin[e]		0	0	1000											
¦Â-Amyrin	¦Â-Amyrin_7	¦Â-Amyrin exchange	¦Â-Amyrin[e] =>		1	0	1000											
¦Â-Amyrin	r_1012No1	squalene synthase (No1)	2 farnesyl diphosphate[c] + H+[c] + NADPH[c] => 2 diphosphate[c] + NADP(+)[c] + squalene[c]	YHR190W	0	0	1000	P29704	3.3	51.7193	2.5.1.21							
¦Â-Amyrin	r_0355No1	dimethylallyltranstransferase (No1)	isopentenyl diphosphate[c] + prenyl diphosphate(3-)[c] => diphosphate[c] + geranyl diphosphate[c]	YJL167W	0	0	1000	P08524	2.2	40.4829	2.5.1.1							
¦Â-Amyrin	r_0462No1	geranyltranstransferase (No1)	geranyl diphosphate[c] + isopentenyl diphosphate[c] => farnesyl diphosphate[c] + diphosphate[c]	YJL167W	0	0	1000	P08524	2.2	40.4829	2.5.1.1							
																		
Astaxanthin	Astaxanthin_1	geranylgeranyl diphosphate synthase	farnesyl diphosphate[c] + isopentenyl diphosphate[c] => diphosphate[c] + geranylgeranyl diphosphate[c]	crtE 	0	0	1000	Q1L6K3	8.4	42.153	2.5.1.29	0.1			YEP	glucose		
Astaxanthin	Astaxanthin_2	Bifunctional lycopene cyclase/phytoene synthase	2 geranylgeranyl diphosphate[c] => 2 diphosphate[c] + phytoene[c]	crtYB 	0	0	1000	Q7Z859	0.0834552	74.736	2.5.1.32							
Astaxanthin	Astaxanthin_3	Phytoene desaturase	phytoene[c] => neurosporene[c]	crtI 	0	0	1000	Q7Z858	0.000314486	65.066	1.3.99.28							
Astaxanthin	Astaxanthin_4	Phytoene desaturase	neurosporene[c] + oxygen[c] => 2 H2O[c] + lycopene[c]	crtI 	0	0	1000	Q7Z858	0.000314486	65.066	1.3.99.28							
Astaxanthin	Astaxanthin_5	Bifunctional lycopene cyclase/phytoene synthase	lycopene[c] => ¦Â-carotene[c]	crtYB 	0	0	1000	Q7Z859	0.4434336	74.736	5.5.1.19							
Astaxanthin	Astaxanthin_6	¦Â-carotene transport	¦Â-carotene[c] => ¦Â-carotene[e]		0	0	1000											
Astaxanthin	Astaxanthin_7	¦Â-carotene exchange	¦Â-carotene[e] =>		0	0	1000											
Astaxanthin	Astaxanthin_8	¦Â-carotenoid ketolase	¦Â-carotene[c] + oxygen[c] => echinenone[c] + H2O[c]	bkt 	0	0	1000	Q39982		35.989	1.14.99.63	0.1			YEP	glucose		
Astaxanthin	Astaxanthin_9	¦Â-carotenoid ketolase	echinenone[c] + oxygen[c] => canthaxanthin[c] + H2O[c]	bkt 	0	0	1000	Q39982		35.989	1.14.99.63							
Astaxanthin	Astaxanthin_10	¦Â-carotenoid hydroxylase	H+[c] + NADH[c] + canthaxanthin[c] + oxygen[c] => H2O[c] + phoenicoxanthin[c] + NAD[c]	crtZ 	0	0	1000	A0A0K0P8J8		32.017	1.14.15.24							
Astaxanthin	Astaxanthin_11	¦Â-carotenoid hydroxylase	H+[c] + NADH[c] + phoenicoxanthin[c] + oxygen[c] => H2O[c] + astaxanthin[c] + NAD[c]	crtZ 	0	0	1000	A0A0K0P8J8		32.017	1.14.15.24							
Astaxanthin	Astaxanthin_12	astaxanthin transport	astaxanthin[c] => astaxanthin[e]		0	0	1000											
Astaxanthin	Astaxanthin_13	astaxanthin exchange	astaxanthin[e] =>	 	1	0	1000											
Astaxanthin	r_0558No1	hydroxymethylglutaryl CoA reductase (No1)	pmet_r_0558[c] => (R)-mevalonate[c] + coenzyme A[c] + 2 NADP(+)[c]	YLR450W	0	0	1000	P12684	92.5526	115.691	1.1.1.34							
																		
Farnesene	Farnesene_1	farnesene synthase	farnesyl diphosphate[c] => alpha-Farnesene[c] + diphosphate[c]	AFS 	0	0	1000	Q84LB2	0.0613	66.183	4.2.3.46	0.043			Min	glucose	YDR503C,YDR284C,YOR375C	
Farnesene	Farnesene_2	farnesene transport	alpha-Farnesene[c] => alpha-Farnesene[e]		0	0	1000											
Farnesene	Farnesene_3	farnesene exchange	alpha-Farnesene[e] =>		1	0	1000											
Farnesene	Farnesene_4	santalene synthase	farnesyl diphosphate[c] => Santalene[c] + diphosphate[c]	SAS 	0	0	1000	E5LLI1	0.075	63.937	4.2.3.82							
Farnesene	Farnesene_5	farnesene transport	Santalene[c] => Santalene[e]		0	0	1000											
Farnesene	Farnesene_6	farnesene exchange	Santalene[e] =>		0	0	1000											
Farnesene	r_0558No1	hydroxymethylglutaryl CoA reductase (No1)	pmet_r_0558[c] => (R)-mevalonate[c] + coenzyme A[c] + 2 NADP(+)[c]	YLR450W	0	0	1000	P12684	92.5526	115.691	1.1.1.34							
